date,ust_2y,ust_5y,ust_10y,ust_30y,spread_2s10s,spread_5s30s,spread_2s30s,spread_10s30s,spread_5s10s
2024-09-23,3.545,3.496,3.739,4.082,19.4,58.6,53.7,34.3,24.3
2024-09-24,3.516,3.479,3.736,4.089,22.0,61.0,57.3,35.3,25.7
2024-09-25,3.55,3.518,3.781,4.134,23.1,61.6,58.4,35.3,26.3
2024-09-26,3.616,3.559,3.791,4.124,17.5,56.5,50.8,33.3,23.2
2024-09-27,3.558,3.503,3.749,4.098,19.1,59.5,54.0,34.9,24.6
2024-09-30,3.648,3.577,3.802,4.134,15.4,55.7,48.6,33.2,22.5
2024-10-01,3.546,3.521,3.743,4.08,19.7,55.9,53.4,33.7,22.2
2024-10-02,3.562,3.553,3.785,4.132,22.3,57.9,57.0,34.7,23.2
2024-10-03,3.639,3.635,3.85,4.18,21.1,54.5,54.1,33.0,21.5
2024-10-04,3.856,3.813,3.981,4.267,12.5,45.4,41.1,28.6,16.8
2024-10-07,3.947,3.869,4.026,4.306,7.9,43.7,35.9,28.0,15.7
2024-10-08,3.924,3.864,4.033,4.321,10.9,45.7,39.7,28.8,16.9
2024-10-09,3.962,3.908,4.067,4.339,10.5,43.1,37.7,27.2,15.9
2024-10-10,3.934,3.919,4.096,4.386,16.2,46.7,45.2,29.0,17.7
2024-10-11,3.883,3.879,4.073,4.383,19.0,50.4,50.0,31.0,19.4
2024-10-14,3.957,3.9,4.098,4.409,14.1,50.9,45.2,31.1,19.8
2024-10-15,3.911,3.86,4.038,4.329,12.7,46.9,41.8,29.1,17.8
2024-10-16,3.893,3.842,4.016,4.299,12.3,45.7,40.6,28.3,17.4
2024-10-17,3.944,3.909,4.096,4.395,15.2,48.6,45.1,29.9,18.7
2024-10-18,3.92,3.876,4.073,4.38,15.3,50.4,46.0,30.7,19.7
2024-10-21,3.991,3.976,4.182,4.487,19.1,51.1,49.6,30.5,20.6
2024-10-22,3.991,4.005,4.204,4.493,21.3,48.8,50.2,28.9,19.9
2024-10-23,4.049,4.057,4.242,4.516,19.3,45.9,46.7,27.4,18.5
2024-10-24,4.053,4.019,4.2,4.465,14.7,44.6,41.2,26.5,18.1
2024-10-25,4.079,4.051,4.232,4.499,15.3,44.8,42.0,26.7,18.1
2024-10-28,4.139,4.108,4.278,4.53,13.9,42.2,39.1,25.2,17.0
2024-10-29,4.117,4.104,4.274,4.519,15.7,41.5,40.2,24.5,17.0
2024-10-30,4.149,4.127,4.266,4.48,11.7,35.3,33.1,21.4,13.9
2024-10-31,4.161,4.155,4.284,4.473,12.3,31.8,31.2,18.9,12.9
2024-11-01,4.165,4.209,4.361,4.558,19.6,34.9,39.3,19.7,15.2
2024-11-04,4.141,4.167,4.309,4.494,16.8,32.7,35.3,18.5,14.2
2024-11-05,4.164,4.172,4.289,4.45,12.5,27.8,28.6,16.1,11.7
2024-11-06,4.242,4.272,4.426,4.602,18.4,33.0,36.0,17.6,15.4
2024-11-07,4.196,4.192,4.341,4.543,14.5,35.1,34.7,20.2,14.9
2024-11-08,4.216,4.192,4.306,4.477,9.0,28.5,26.1,17.1,11.4
2024-11-11,4.264,4.195,4.308,4.475,4.4,28.0,21.1,16.7,11.3
2024-11-12,4.305,4.314,4.432,4.577,12.7,26.3,27.2,14.5,11.8
2024-11-13,4.262,4.301,4.451,4.637,18.9,33.6,37.5,18.6,15.0
2024-11-14,4.267,4.292,4.418,4.583,15.1,29.1,31.6,16.5,12.6
2024-11-15,4.277,4.298,4.428,4.601,15.1,30.3,32.4,17.3,13.0
2024-11-18,4.262,4.277,4.414,4.606,15.2,32.9,34.4,19.2,13.7
2024-11-19,4.247,4.246,4.379,4.565,13.2,31.9,31.8,18.6,13.3
2024-11-20,4.279,4.275,4.406,4.592,12.7,31.7,31.3,18.6,13.1
2024-11-21,4.322,4.305,4.432,4.622,11.0,31.7,30.0,19.0,12.7
2024-11-22,4.34,4.298,4.41,4.595,7.0,29.7,25.5,18.5,11.2
2024-11-25,4.26,4.172,4.265,4.447,0.5,27.5,18.7,18.2,9.3
2024-11-26,4.252,4.19,4.302,4.48,5.0,29.0,22.8,17.8,11.2
2024-11-27,4.208,4.113,4.242,4.427,3.4,31.4,21.9,18.5,12.9
2024-11-29,4.182,4.055,4.178,4.366,-0.4,31.1,18.4,18.8,12.3
2024-12-02,4.142,4.095,4.196,4.361,5.4,26.6,21.9,16.5,10.1
2024-12-03,4.124,4.106,4.223,4.394,9.9,28.8,27.0,17.1,11.7
2024-12-04,4.068,4.062,4.18,4.347,11.2,28.5,27.9,16.7,11.8
2024-12-05,4.101,4.076,4.18,4.336,7.9,26.0,23.5,15.6,10.4
2024-12-06,4.05,4.034,4.151,4.331,10.1,29.7,28.1,18.0,11.7
2024-12-09,4.073,4.072,4.199,4.39,12.6,31.8,31.7,19.1,12.7
2024-12-10,4.104,4.097,4.221,4.408,11.7,31.1,30.4,18.7,12.4
2024-12-11,4.12,4.134,4.271,4.479,15.1,34.5,35.9,20.8,13.7
2024-12-12,4.153,4.176,4.324,4.547,17.1,37.1,39.4,22.3,14.8
2024-12-13,4.194,4.248,4.399,4.615,20.5,36.7,42.1,21.6,15.1
2024-12-16,4.218,4.254,4.397,4.608,17.9,35.4,39.0,21.1,14.3
2024-12-17,4.218,4.248,4.385,4.579,16.7,33.1,36.1,19.4,13.7
2024-12-18,4.305,4.38,4.494,4.659,18.9,27.9,35.4,16.5,11.4
2024-12-19,4.271,4.425,4.57,4.74,29.9,31.5,46.9,17.0,14.5
2024-12-20,4.25,4.38,4.524,4.716,27.4,33.6,46.6,19.2,14.4
2024-12-23,4.306,4.445,4.599,4.784,29.3,33.9,47.8,18.5,15.4
2024-12-24,4.31,4.438,4.591,4.765,28.1,32.7,45.5,17.4,15.3
2024-12-26,4.327,4.433,4.579,4.762,25.2,32.9,43.5,18.3,14.6
2024-12-27,4.32,4.456,4.619,4.811,29.9,35.5,49.1,19.2,16.3
2024-12-30,4.248,4.37,4.545,4.763,29.7,39.3,51.5,21.8,17.5
2024-12-31,4.229,4.38,4.573,4.786,34.4,40.6,55.7,21.3,19.3
2025-01-02,4.227,4.38,4.575,4.798,34.8,41.8,57.1,22.3,19.5
2025-01-03,4.257,4.41,4.596,4.814,33.9,40.4,55.7,21.8,18.6
2025-01-06,4.248,4.422,4.618,4.838,37.0,41.6,59.0,22.0,19.6
2025-01-07,4.278,4.465,4.683,4.91,40.5,44.5,63.2,22.7,21.8
2025-01-08,4.267,4.467,4.693,4.932,42.6,46.5,66.5,23.9,22.6
2025-01-09,4.247,4.467,4.693,4.932,44.6,46.5,68.5,23.9,22.6
2025-01-10,4.411,4.593,4.776,4.965,36.5,37.2,55.4,18.9,18.3
2025-01-13,4.396,4.617,4.803,4.986,40.7,36.9,59.0,18.3,18.6
2025-01-14,4.352,4.59,4.788,4.984,43.6,39.4,63.2,19.6,19.8
2025-01-15,4.254,4.444,4.653,4.879,39.9,43.5,62.5,22.6,20.9
2025-01-16,4.215,4.396,4.606,4.844,39.1,44.8,62.9,23.8,21.0
2025-01-17,4.255,4.414,4.609,4.845,35.4,43.1,59.0,23.6,19.5
2025-01-21,4.268,4.397,4.574,4.802,30.6,40.5,53.4,22.8,17.7
2025-01-22,4.279,4.426,4.599,4.814,32.0,38.8,53.5,21.5,17.3
2025-01-23,4.287,4.442,4.638,4.869,35.1,42.7,58.2,23.1,19.6
